update,Cynthia's Garchomp,N's Zoroark,M-Kangaskhan box,M-Lopunny,Ogerpon,Grookey-Dipplin,Marnie's Grimmsnarl,Dragapult,M-Kangaskhan + Crustle,Ogerpon-Hydrapple,M-Lucario,Alakazam
1,0.827,0.79,0.83,0.637,0.642,0.417,0.624,0.521,0.25,0.425,0.475,0.214
2,0.827,0.81,0.861,0.665,0.68,0.427,0.607,0.548,0.292,0.477,0.543,0.231
3,0.873,0.833,0.856,0.697,0.727,0.432,0.703,0.582,0.355,0.49,0.509,0.278
4,0.897,0.827,0.87,0.706,0.724,0.492,0.7,0.618,0.397,0.511,0.587,0.265
5,0.9,0.857,0.883,0.741,0.749,0.523,0.715,0.623,0.433,0.545,0.565,0.308
6,0.877,0.867,0.885,0.757,0.79,0.542,0.713,0.671,0.497,0.531,0.61,0.291
7,0.907,0.85,0.887,0.797,0.794,0.559,0.738,0.66,0.547,0.57,0.618,0.335
8,0.913,0.847,0.905,0.802,0.784,0.59,0.763,0.688,0.556,0.589,0.647,0.338
9,0.897,0.862,0.888,0.782,0.813,0.578,0.745,0.7,0.58,0.616,0.648,0.322
10,0.927,0.923,0.921,0.823,0.808,0.622,0.8,0.717,0.593,0.617,0.665,0.388
11,0.91,0.875,0.92,0.822,0.823,0.634,0.775,0.734,0.64,0.625,0.692,0.392
12,0.957,0.908,0.92,0.846,0.824,0.649,0.79,0.747,0.625,0.631,0.655,0.404
13,0.92,0.873,0.92,0.841,0.83,0.649,0.797,0.75,0.676,0.663,0.662,0.408
14,0.937,0.885,0.925,0.849,0.857,0.677,0.798,0.776,0.682,0.673,0.703,0.446
15,0.94,0.923,0.935,0.851,0.849,0.676,0.797,0.759,0.687,0.698,0.685,0.46
16,0.937,0.883,0.909,0.854,0.861,0.671,0.818,0.767,0.698,0.691,0.724,0.445
17,0.94,0.912,0.94,0.866,0.883,0.718,0.83,0.791,0.695,0.688,0.737,0.455
18,0.927,0.907,0.93,0.864,0.854,0.712,0.814,0.8,0.694,0.717,0.702,0.447
19,0.94,0.92,0.923,0.871,0.872,0.683,0.818,0.78,0.722,0.739,0.743,0.487
20,0.913,0.937,0.929,0.876,0.877,0.708,0.802,0.78,0.721,0.756,0.722,0.482
21,0.947,0.913,0.927,0.882,0.867,0.699,0.8,0.802,0.729,0.739,0.725,0.511
22,0.95,0.923,0.939,0.888,0.891,0.699,0.825,0.802,0.726,0.733,0.743,0.503
23,0.897,0.903,0.933,0.88,0.882,0.756,0.805,0.812,0.722,0.714,0.722,0.512
24,0.953,0.933,0.944,0.889,0.88,0.739,0.825,0.796,0.727,0.74,0.745,0.515
25,0.94,0.923,0.945,0.884,0.859,0.746,0.842,0.812,0.742,0.75,0.75,0.517
26,0.933,0.91,0.948,0.881,0.867,0.756,0.826,0.822,0.724,0.757,0.757,0.529
27,0.94,0.92,0.935,0.899,0.873,0.78,0.838,0.82,0.73,0.768,0.728,0.505
28,0.92,0.92,0.939,0.892,0.884,0.766,0.842,0.807,0.748,0.761,0.748,0.549
29,0.95,0.922,0.942,0.874,0.861,0.797,0.843,0.813,0.75,0.743,0.727,0.511
30,0.943,0.917,0.935,0.919,0.9,0.761,0.833,0.818,0.754,0.756,0.755,0.529
31,0.957,0.927,0.943,0.892,0.88,0.801,0.832,0.822,0.766,0.761,0.773,0.527
32,0.97,0.947,0.934,0.911,0.899,0.759,0.848,0.82,0.757,0.786,0.757,0.51
33,0.947,0.962,0.933,0.892,0.874,0.784,0.873,0.834,0.754,0.763,0.758,0.527
34,0.973,0.92,0.938,0.894,0.892,0.792,0.828,0.84,0.756,0.769,0.745,0.525
35,0.923,0.925,0.948,0.887,0.87,0.768,0.867,0.83,0.766,0.775,0.767,0.532
